Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,Uplink Tone,County,Op Status,Coverage,Sponsor,EchoLink,Coordination,Last update,IRLP,Notes,Web links,Downlink Tone,On-air,Affiliate,Features,YSF Digital Enabled,DG-ID,Mixed-Mode,AllStar,Nets,DMR Enabled,Color Code,Wide Network,Talkgroups,Colorado,Denver Regional,Links,WIRES-X,Grid,Commands,Northern Colorado,D-STAR Enabled,Node,Sources,Feed,P25 Digital Enabled,NAC,Default Reflector,Worldwide,North America,Local/Cluster,Southern Colorado,Talkgroup Network,English,Kansas,Local or Reflector,CKRG,KansasLink,Bandwidth,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,TAC 310,DCI Bridge,N. Colorado,Mountain Reg USA,Worldwide English,Local Network,Location Photo,BYRG,Wyoming,WyLOCAL
444,5,141.3,K0ECT,Syracuse,KS,OPEN,,82.8,SSE,,444,449,141.3,Hamilton,On-Air,,SKECT,,Kansas Repeater Council,,,,http://skect.org/default.aspx,141.3,,,E-power.,,,,,,,,,,,,Full-time to the  SKECT System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.9,-5,107.2,N1FSX,Punkin Center,CO,OPEN,,82.9,WSW,,449.9,444.9,107.2,Lincoln,On-Air,,,,CCARC,,,,,,,BSAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.5,-5,123,KC0HH,Lamar,CO,OPEN,EI,86.3,SSW,,449.5,444.5,123,Prowers,On-Air,45,Lamar ARC,37784,CCARC,,3774,,,,,,,,,,,,,,,,,,"Full-time to  
        146.61000 (KC0HH) at Lamar, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.61,-0.6,123,KC0HH,Lamar,CO,OPEN,EI,86.3,SSW,,146.61,146.01,123,Prowers,On-Air,Hwy 287 - Springfield to Eads Hwy 50 - Holly to Rocky Ford. 45 mi radius.,Lamar Amateur Radio Club,37784,CCARC,,3774,,,123,,,,,,,,,,,,,,,"Full-time to  
        449.50000 (KC0HH) at Lamar, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.955,-0.6,,N0JUN,Holyoke,CO,OPEN,,88.3,N,,146.955,146.355,,Phillips,,,PCARC,,CCARC,,,,,,Unknown,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.7,-0.6,141.3,WA0OQA,Scott City,KS,OPEN,A,89.6,SE,,146.7,146.1,141.3,Scott,On-Air,"Scott, Finney and Kearny counties",Sand Hills ARC,,Kansas Repeater Council,,,Comet GP-6 @ 125'.,,141.3,,,E-power.,,Open ↑ / Open ↓,Yes; analog capable.,48589,Tue at 20:30.,,,,,,,"Full-time to  
        146.91000 (WA0OQA) at Garden City, KS .",,DM98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.95,5,100,W0MI,"Scott City, K-Link",KS,OPEN,I,92.1,SE,,444.95,449.95,100,Scott,On-Air,Click for coverage map.  35 mi radius.,SHARC,,,,7356,"IRLP direct dial, 73 to disconnect. 
Please return to 9335 when finished.",http://ks0lnk.net,100,,,"Linked to K-Link Repeater Network 
IRLP node 7356.",,,,,,,,,,,,Full-time to the  K-Link System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.775,-0.6,,KA0TAO,Syracuse,KS,OPEN,,95.7,SSE,,146.775,146.175,,Hamilton,On-Air,Local. 20 mi radius.,KA0TAO,,Kansas Repeater Council,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.105,0.6,107.2,WA0DE,Simla,CO,OPEN,,97.5,W,,147.105,147.705,107.2,Elbert,On-Air,"I-70, E. Arapahoe, Elbert, Lincoln Counties",ARES of Douglas and Elbert Counties,,CCARC,,,,http://www.w0cra.org/,107.2,,Colorado Repeater Association,Linked to CRA 447.150 - Conifer,,,,,,,,,,,,"Full-time to  
        448.42500 (W0CRA) at Larkspur, Westcreek, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.19,-0.6,,KB0DZB,Oberlin,KS,OPEN,,99.3,E,,145.19,144.59,,Decatur,On-Air,Local,TRI-STATE.,,Kansas Repeater Council,,,,,,,,Linked.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.295,-0.6,,WA0JTB,"Sterling, CO",CO,OPEN,,103.8,NNW,,145.295,144.695,,Logan,On-Air,Wide area,NECARA,,CCARC,,,,,,,,"Autopatch, e-power.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.2,-5,CC7,W0FT,"Fort Morgan, Fort Morgan EOC",CO,OPEN,,104.2,NW,,448.2,443.2,,Morgan,On-Air,,,,CCARC,,,"See the website for more info on Time Slot, Talk Group and Color Code Programming.",Rocky Mountain Ham Radio,,,NEAHR,Mixed Mode,,,,,,,7,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700      Northern Colorado  2  721    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,,Full-time to the  Colorado TRBO System .,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.8,5,162.2,N7UVW,McCook,NE,OPEN,,106.8,NE,,444.8,449.8,162.2,Red Willow,On-Air,50,N7UVW,,,,,180,,,,Dirt Truckin,Link Com RLC-1 Controller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.5,5,151.4,N7UVW,McCook,NE,OPEN,,106.8,NE,,444.5,449.5,151.4,Frontier,On-Air,20,dirt,,,,,16,,,,Dirt Truckin,link comm rlc 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.27,0.6,,K0TAJ,"McCook, 180' tower S. of McCook",NE,OPEN,,107.1,NE,,147.27,147.87,,Red Willow,On-Air,50,McCook ARA,,,,,,,,,,Fusion Repeater,,,,,Monday Nights at 7PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.985,-0.6,156.7,N0OMC,Lakin,KS,OPEN,,109.1,SSE,,146.985,146.385,156.7,Kearney,On-Air,"Kearny, Finney and Scott Counties",N0OMC,,Kansas Repeater Council,,,Linked full time to the Garden City 146.910 and Scott City 146.700 repeaters,,156.7,,,E-power,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442.5,5,141.3,K0ECT,"Garden City, Tennis",KS,OPEN,I,111.8,SE,,442.5,447.5,141.3,Finney,On-Air,,SKECT,,Kansas Repeater Council,,3885,,http://skect.org/default.aspx,141.3,,,E-power.,,,,,,,,,,,,Full-time to the  SKECT System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.36,0.6,,KC0ITF,"La Junta, North La Junta",CO,PRIVATE,W,113,SW,,147.36,147.96,,Otero,On-Air,La Junta: U.S. Route 50 CO State Hwy 10 CO State Hwy 109 CO State Hwy 194 U.S. Route 350,,,,,,Digital Wires-X,,123,,KC0ITF,E-power,,Open ↑ / Open ↓,Yes; analog capable.,,,,,,,,,,11360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.75,-5,CC0,KC0ITF,"La Junta, North La Junta",CO,PRIVATE,,113,SW,,446.75,441.75,,Otero,On-Air,La Junta,,,,,,Please use Busy Channel LockOut,,,,KC0ITF,E-power.,,Open ↑ / Open ↓,,,,,0,,,,,,,,,,,KC0ITF (B) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.91,-0.6,141.3,WA0OQA,Garden City,KS,OPEN,A,119.1,SE,,146.91,146.31,141.3,Finney,On-Air,"Finney, Scott and Kearney counties.",Sand Hills ARC,,Kansas Repeater Council,,,Linked full time to Scott City 146.700 and Lakin 146.985 repeaters.,,141.3,,,E-power.,,,,48588,Tue at 20:30.,,,,,,,"Full-time to  
        146.70000 (WA0OQA) at Scott City, KS .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.88,-0.6,162.2,N0KOM,"Lenora, K-Link",KS,OPEN,I,123.2,ESE,,146.88,146.28,162.2,Norton,On-Air,Click for coverage map.  50 mi radius.,N0KOM,,Kansas Repeater Council,,7426,"IRLP prefix = A 
Disconnect = 73 
Dial 9335 when finished.",K-Link Repeater Network,162.2,,,"e-power, K-Link. 
IRLP node 7426.",,,,,ARES: Sat @ 21:00 local,,,,,,,Full-time to the  K-Link System .,,,,,,,,Listen Live,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.8375,-25.8,100,KI0HC,Parker,CO,OPEN,,123.8,W,,927.8375,902.025,,Douglas,On-Air,This repeater is east of parker so it covers up in the foothills. You can hilltop into Wyoming &amp; on I-80 west to MM323 The Abraham Lincoln Monument. South I-25 to Fountain MM125. The hills are your friends in the 900 world!,,,CCARC,,,"Offset is -25.8125 
In Nac 294 Out Nac 293",,,,,,,,,,,,,,,,,,,,,,,,,,,294,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.625,-5,100,KD0MDP,"Falcon, Black Forest",CO,OPEN,EIA,126.6,W,,447.625,442.625,100,El Paso,On-Air,,KD0MDP,363976,,,7301,,,100,,The Fun Machine,Linked.,,,,28299,,,,,,,,Full-time to the  The Fun Machine System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.87,-1.7,141.3,WA0OQA,Garden City,KS,OPEN,,128,SE,,52.87,51.17,141.3,Finney,On-Air,30,SHARC,,,,,200,,141.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.2,-5,151.4,,Falcon,CO,OPEN,,128,W,,447.2,442.2,,El Paso,Testing,"Falcon, Black Forest, Peyton Areas",GGARC,,,,,,,,,Garden of the Gods Amateur Radio Club,,,Open ↑ / Open ↓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.85,-5,,K0PRA,Franktown,CO,OPEN,,128.7,W,,446.85,441.85,,Douglas,On-Air,,Parker Radio Association,,CCARC,,,,http://parkerradio.org,,,,D-Star B module,,,,,,,,,,,,,,,,,,K0PRA (B) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.06,0.6,,K0ECT,Ulysses,KS,OPEN,,129,SSE,,147.06,147.66,,Grant,On-Air,Local,SKECT,,Kansas Repeater Council,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.76,-0.6,123,N0UGO,Ogallala,NE,OPEN,EI,129.2,NNE,,146.76,146.16,123,Keith,On-Air,,Charlie Allen,751985,,,7349,Linked to 146.940 in North Platte and 442.250 south of North Platte,,,,,,,,,,"Sun at 19:30. 
Wed at 20:00.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.075,-5,CC1,K0PRA,Parker,CO,OPEN,,130.3,W,,445.075,440.075,,Douglas,On-Air,,Parker Radio Association,,CCARC,,,Mixed Mode,http://www.parkerradio.org,,,,Brandmeister Network https://brandmeister.network/?page=repeater&amp;id=310844,,,,,Mondays 20:30 MST,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443.7,5,162.2,N0NM,"Hill City, K-Link",KS,OPEN,A,130.3,ESE,,443.7,448.7,162.2,Graham,On-Air,Click for coverage map.  45 mi radius.,"N0NM, N0KOM",,Kansas Repeater Council,,,"Use PL 131.8 for WesKan Intertie 
Use PL 162.2 for K-Link",K-Link Repeater Network,,,Western Kansas Inter-Tie K-Link Repeater Network,E-power.,,,,46425,,,,,,,,Linkable to the  K-Link System . Linkable to the  Western Kansas Intertie System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443.575,5,162.2,K0HAM,"Ransom, K-Link",KS,OPEN,,131,SE,,443.575,448.575,162.2,Ness,On-Air,Click for coverage map.  40 mi radius.,N7JYS,,Kansas Repeater Council,,,,K-Link Repeater Network,162.2,,K-Link Repeater Network,,,,,,ARES: Saturdays 21:00 local,,,,,,,"Full-time to  
        442.45000 (N7JYS) at Hays, K-Link, KS .
 


Full-time to the  K-Link System .",,,,,,,,Listen Live,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.2,-5,118.8,KZ0DEM,Springfield,CO,OPEN,EI,132.4,S,,449.2,444.2,118.8,Baca,On-Air,provides coverage to central Baca County,Baca County Div of Emerg Mgt Communications,97142,,,7142,,,118.8,,,,,,,,,,,,,,,,,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.09,0.6,118.8,KZ0DEM,Springfield,CO,OPEN,,132.4,S,,147.09,147.69,118.8,Baca,,,BCDEARC,,CCARC,,,,,118.8,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.33,0.6,118.8,KZ0DEM,Springfield,CO,OPEN,EI,132.4,S,,147.33,147.93,118.8,Baca,Off-Air,,Baca County Amateur Emergency Management,97142,CCARC,,7142,,KZ0DEM Repeaters,118.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.425,-5,D023,K0PWO,Centennial,CO,OPEN,A,133.1,W,,449.425,444.425,D023,Arapahoe,Off-Air,,K0PWO,,,,,Colorado SNP (Shared non-protected pair),,D023,,,,,,,29791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.4,-0.8,100,KB0UDD,"Aurora, Smoky Hill",CO,OPEN,,133.5,W,,145.4,144.6,100,Arapahoe,On-Air,Greater Denver area.,Castle Rock Repeater Group,,CCARC,,,,,,,,"Autopatch, e-power.",,,,,,,,,,,,"Full-time to  
        448.50000 (KB0UDD) at Aurora, Smokey Hill, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.19,-0.6,151.4,N0OBA,Aurora,CO,OPEN,E,134.6,W,,145.19,144.59,151.4,Arapahoe,On-Air,"Aurora, Littleton, Denver, Morrison, North Colorado Springs to as far as Ft. Collins.",N0OBA,10079,,,,"Please note the PL's! Do not TSQ unless your radio can do split PL's. Otherwise you will not here the system. Regards, Scott",,131.8,,,Autopatch (please contact trustee).,,,,,"""Tri Lakes Net"" This net is held every Monday at 7:30pm local (except on the third Monday of the month when we have our regular radio club meeting.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.925,-5,114.8,KD0RG,Hudson,CO,OPEN,E,135.5,WNW,,449.925,444.925,114.8,Weld,On-Air,,KD0RG,448035,CCARC,,,,,114.8,,K0UPS Club,,,,,,,,,,,,,,,DN70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.7,-5,146.2,WQ8M,Parker,CO,OPEN,,135.8,W,,448.7,443.7,146.2,Douglas,On-Air,Local North Parker only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.15,-5,141.3,K0GUR,"Denver, Green Valley Ranch",CO,OPEN,EA,136.3,WNW,,448.15,443.15,141.3,Denver,On-Air,"Small coverage of the East Denver area SW of DIA. 
   Repeater Coverage Map",K0GUR,24340,CCARC,,,Can be linked to various local repeater systems via the remote base(s). Echolink connects restricted. Email me to be added to the authorized list.  The system may be occupied in the Southern Colorado area for a formal net or ARES activity.,k0jsc.com,141.3,,,E-power (batt).  2 meter and 70cm channel steerable remote bases.,,,,29436,"APRS Net: Sun at 19:00. 
Region 5 District 2 ARES Net: Sun at 19:30. 
Statewide ARES Net: Sun at 20:00. 
Region 5 District 1 ARES Net: Mon at 19:00. 
RGARC Net: Wed at 19:00.",,,,,,,Full-time to the  The Fun Machine System .,,DM79pt,,,,,,Listen Live,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.64,-0.6,100,KZ0DEM,"Pritchett,  Tator Butte",CO,OPEN,,137.5,SSW,,146.64,146.04,100,Las Animas,Off-Air,Wide area: West BACA and East Las Animas counties.,,,CCARC,,,,KZ0DEM Repeaters,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.525,-5,203.5,N0ESQ,"Parker, Hess Reservoir",CO,OPEN,,137.6,W,,447.525,442.525,203.5,Douglas,On-Air,"Denver metropolitan area, front range foothills",EmComm Colorado,,CCARC,,,"Not a ragchew machine. Traffic related to ARES, RACES and administrative and exercise traffic related thereto.",,146.2,,Colorado ARES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.15,-5,136.5,WR0AEN,Aurora,CO,OPEN,,138.1,WNW,,449.15,444.15,,Arapahoe,On-Air,,Colorado Amateur Repeater Network (CARN),,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,WR0AEN (B),"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.95,-5,88.5,ND0Q,Pueblo,CO,OPEN,,138.2,WSW,,447.95,442.95,88.5,Pueblo,On-Air,Wide area.,Pueblo Ham Club,,CCARC,,,Dual Mode Analog/DMR DMR is unlinked/stand alone for ARES.,Pueblo Ham Club,,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.26,-1.6,88.5,ND0Q,"Pueblo, Baculite Mesa",CO,OPEN,,138.2,WSW,,224.26,222.66,88.5,Pueblo,Off-Air,Wide area.,Pueblo Ham Club,,CCARC,,,,PHC repeaters,CSQ,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.79,-0.6,88.5,ND0Q,"Pueblo, Baculite Mesa",CO,OPEN,,138.2,WSW,,146.79,146.19,88.5,Pueblo,On-Air,Wide area.,Pueblo HC,,CCARC,,,,Pueblo Ham Club,CSQ,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.72,-1.6,103.5,W0MOG,Colorado springs,CO,OPEN,,138.6,W,,224.72,223.12,103.5,El Paso,On-Air,Local,w0mog,,,,,,,103.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.625,-5,100,KE0SJ,Lochbuie,CO,OPEN,,138.9,WNW,,447.625,442.625,100,Adams,On-Air,Local/North Metro,Intermountain Repeater Group,,,,,,Intermountain Repeater Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.135,0.6,100,AA0L,Colorado Springs,CO,OPEN,,139.5,WSW,,147.135,147.735,100,El Paso,On-Air,,AA0L,,CCARC,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.5,-5,100,KB0UDD,"Aurora, Smokey Hill",CO,OPEN,,139.6,WNW,,448.5,443.5,100,Denver,On-Air,Greater Denver area.,Castle Rock Repeater Group,,CCARC,,,,,,,,E-power.,,,,,,,,,,,,"Full-time to  
        145.40000 (KB0UDD) at Aurora, Smoky Hill, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.275,-5,156.7,W0BG,Aurora,CO,OPEN,,139.7,WNW,,448.275,443.275,156.7,Arapahoe,On-Air,,W0BG,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.4,-5,94.8,N0ZUQ,Aurora,CO,OPEN,,139.7,WNW,,448.4,443.4,94.8,Arapahoe,On-Air,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.825,-5,,WN7ANT,Aurora,CO,OPEN,W,139.7,WNW,,448.825,443.825,,Arapahoe,On-Air,,,,,,,,,,,,,,Open ↑ / Open ↓,,,,,,,,,,,30584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.725,-5,100,K0NR,"Monument, Monument Hill",CO,OPEN,,140.1,W,,447.725,442.725,100,El Paso,On-Air,Local.,K0NR,,CCARC,,,,http://www.k0nr.com/wordpress/k0nr-repeater/,100,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.27,0.6,,,Colorado Springs,CO,OPEN,,140.6,WSW,,147.27,147.87,,El Paso,On-Air,,TRA,,,,,,,,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.39,0.6,103.5,W0MOG,Colorado Springs,CO,OPEN,,140.6,WSW,,147.39,147.99,103.5,El Paso,On-Air,,W0MOG,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
