Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,Uplink Tone,DMR Enabled,Color Code,Wide Network,County,Op Status,Sponsor,Affiliate,Web links,Coordination,Last update,Downlink Tone,Coverage,Links,Notes,Nets,Talkgroups,Colorado,Northern Colorado,Features,On-air,Denver Regional,EchoLink,IRLP,Commands,YSF Digital Enabled,DG-ID,Mixed-Mode,AllStar,Grid,WIRES-X,D-STAR Enabled,Node,Sources,P25 Digital Enabled,NAC,Default Reflector,Feed,TAC 310,DCI Bridge,N. Colorado,Mountain Reg USA,Local/Cluster,Talkgroup Network,Worldwide English,North America,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,Worldwide,English,Local Network,Southern Colorado,Wyoming,WyLOCAL,Location Photo,Kansas,Local or Reflector,CKRG,KansasLink,Bandwidth
447.925,-5,100,K0FEZ,Denver,CO,OPEN,,98.2,WSW,yes,447.925,442.925,100,,,,Denver,On-Air,RADOPS El Jebel Shriners,,,CCARC,yes,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.65,-5,136.5,WR0AEN,Denver,CO,OPEN,,98.2,WSW,yes,449.65,444.65,,,,,Denver,On-Air,Colorado Amateur Repeater Network (CARN),,,CCARC,yes,,,,,,,,,,,,,,,,,,,,,yes,WR0AEN (B),"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.675,-5,136.5,WR0AEN,Denver,CO,OPEN,I,98.2,WSW,yes,449.675,444.675,,,,,Denver,On-Air,Colorado Amateur Repeater Network (CARN),,,CCARC,yes,,,,,,,,,,,,,7708,,,,,,,,yes,WR0AEN (B),"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.165,0.6,114.8,KC7SNO,Albin,WY,OPEN,,98.4,NNW,yes,147.165,147.765,114.8,,,,Laramie,On-Air,Shy-Wy Amateur Radio Club,,,WRCG,yes,,,"Full-time to  
        147.10500 (KC7SNO) at Cheyenne, North Park, WY .
 


Full-time to  
        146.77500 (KC7SNO) at Cheyenne, Denver Hill, WY .",,,,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.3,-5,100,N1UPS,Westminster,CO,OPEN,EI,99,WSW,yes,449.3,444.3,100,,,,Adams,On-Air,N1UPS,,,CCARC,yes,,,,,,,,,,,,43699,3699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.575,-5,100,W0LRA,"Loveland, Namaqua Hill",CO,OPEN,,99.4,W,yes,449.575,444.575,100,,,,Larimer,On-Air,Loveland Rptr Assoc,,,CCARC,yes,,,,,,,,,"Closed autopatch, e-power.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.32,-1.6,100,KN6VV,Loveland,CO,OPEN,,99.4,W,yes,224.32,222.72,100,,,,Larimer,Off-Air,KN6VV,,,CCARC,yes,100,,,,,,,,"Closed autopatch, e-power.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.525,-5,151.4,N0EPA,Longmont,CO,OPEN,E,99.6,W,yes,448.525,443.525,151.4,,,,Boulder,On-Air,N0EPA,,,CCARC,yes,,,,,,,,,,,,223853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.27,0.6,100,W0ENO,Longmont,CO,OPEN,,99.6,W,yes,147.27,147.87,100,,,,Boulder,On-Air,Longmont ARC (LARC),,http://w0eno.org/?q=node/11,CCARC,yes,100,Wide area: Northern Colorado.,"Linkable to  
        448.80000 (W0ENO) at Longmont, CO .",,,,,,"Closed autopatch, e-power, EchoLink.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.8,-5,88.5,W0ENO,Longmont,CO,OPEN,,99.6,W,yes,448.8,443.8,88.5,,,,Boulder,On-Air,Longmont ARC,,,CCARC,yes,88.5,,"Linkable to  
        147.27000 (W0ENO) at Longmont, CO .",,LARC: Sun at 20:00.,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.825,-5,103.5,W0WYX,Broomfield,CO,OPEN,,100.4,W,yes,449.825,444.825,103.5,,,,Boulder,On-Air,Rocky Mountain Radio League,,Repeater,CCARC,yes,,Along the foothills and into Boulder where the 94 repeater is shadowed.,,,"Colorado WX: Daily at 06:30. 
RMRL: Mod at 20:30. 
Astronomy: Tue at 19:00. 
Amateur Radio Events: Tue at 20:00.",,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.925,-5,131.8,W0LMA,Broomfield,CO,OPEN,,100.4,W,yes,448.925,443.925,131.8,,,,Boulder,On-Air,W0LMA,,,CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.725,-5,131.8,W7RF,Fort Collins,CO,OPEN,,100.9,WNW,yes,447.725,442.725,131.8,,,,Larimer,On-Air,W7RF,,,CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.95,-5,77,W9SL,"Castle Pines, Daniels Park",CO,OPEN,,101.1,WSW,yes,449.95,444.95,77,,,,Douglas,On-Air,W9SL Owner,,,CCARC,yes,77,Primarily to the North along I-25 corridor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.325,-5,110.9,WB7UPS,Wellington,CO,OPEN,,101.6,WNW,yes,448.325,443.325,110.9,,,,Larimer,On-Air,,,,CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.195,0.6,100,W0LRA,"Loveland, Namaqua Hill",CO,OPEN,,102,W,yes,147.195,147.795,100,,,,Larimer,On-Air,Loveland Repeater Assoc,,,CCARC,yes,,,,,,,,,"Closed autopatch, e-power.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.36,0.6,100,W0QEY,"Fort Collins, CSU Durward Hall",CO,OPEN,,102.1,WNW,yes,147.36,147.96,100,,,,Larimer,On-Air,CO State Univ ARC,,,CCARC,yes,100,Map,,,,,,,Closed autopatch.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.85,-5,100,W0QEY,"Fort Collins, CSU Durward Hall",CO,OPEN,,102.7,WNW,yes,449.85,444.85,100,,,,Larimer,On-Air,CO State Univ ARC,,,CCARC,yes,100,Map,,,,,,,Closed autopatch.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.03,0.6,88.5,KS0GLD,Goodland,KS,OPEN,I,102.8,SE,yes,147.03,147.63,88.5,,,,Sherman,Off-Air,Sherman County Amateur Radio Club (SCARE),,SCARE on Facebook,,yes,,I-70,,This is the highest (above sea level) amateur repeater in Kansas.,,,,,,,,,3769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.76,-0.6,100,W0IA,"Boulder, Gunbarrel Hill",CO,OPEN,,102.9,W,yes,146.76,146.16,100,,,,Boulder,On-Air,Rocky Mtn VHF Soc,Boulder County ARES,,CCARC,yes,,Wide area.,,"ARES primary repeater. 
 Voting Receivers:  
 
   
    RX Location    Tone    Pitch    PL  
   
   Gunbarrel  single beep  low  100.0 
   
   Lousville  single beep  low  100.0 
   
   Lyons  double beep  high followed by medium  100.0 
   
   Louisville #2  double beep  high followed by low  100.0",,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,Tone,single beep,single beep,double beep,double beep,,,,,,,,,,,,
