Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,Uplink Tone,Downlink Tone,County,Op Status,Sponsor,Notes,Coordination,Last update,Coverage,Features,Links,Nets,Web links,DMR Enabled,Color Code,Wide Network,Affiliate,IRLP,Talkgroup Network,Talkgroups,Colorado,Southern Colorado,Denver Regional,Northern Colorado,AllStar,Commands,Feed,EchoLink,On-air,Mixed-Mode,P25 Digital Enabled,NAC,Default Reflector,D-STAR Enabled,Node,Sources,YSF Digital Enabled,DG-ID,Grid,Worldwide,North America,Local/Cluster,WIRES-X,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,Location Photo,English,TAC 310,N. Colorado,Worldwide English,DCI Bridge,Mountain Reg USA
147.36,0.6,107.2,KC0CVU,"Lake George, Badger Mountain",CO,OPEN,I,27.5,SE,string,147.36,147.96,107.2,107.2,Park,On-Air,undefined,undefined,CCARC,string,Wide area.,E-power.,undefined,undefined,CMRG Repeaters,undefined,undefined,undefined,undefined,3854,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
448.575,-5,103.5,WZ0N,Hartsel,CO,OPEN,string,30,S,string,448.575,443.575,103.5,103.5,Park,Off-Air,undefined,undefined,CCARC,string,Western Park County,undefined,"Full-time internet linked to  
        146.89500 (AB0PC) at Bailey, Dick Mountain, CO .",undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
53.05,-1.7,107.2,W0CRA,"Conifer, Conifer Mountain",CO,OPEN,string,31.7,E,string,53.05,51.35,107.2,107.2,Jefferson,Off-Air,Colorado Repeater Association (CRA),undefined,CCARC,string,"Wide area: Cheyenne, Wyoming, to the north, Pueblo to the south, beyond Limon to the east and South Park to the southwest.",10,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
146.61,-0.6,107.2,K0RV,"Vail, Bald Mountain",CO,OPEN,string,31.8,NW,string,146.61,146.01,107.2,undefined,Eagle,On-Air,ECHO,undefined,CCARC,string,undefined,11,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
147.12,0.6,88.5,N0ARA,"Critchell, Critchell Mountain",CO,OPEN,string,31.9,E,string,147.12,147.72,88.5,88.5,Jefferson,On-Air,Aurora Repeater Association,undefined,CCARC,string,Denver metro and east.,E-power.,undefined,undefined,http://www.n0ara.org,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
449.45,-5,103.5,K1DUN,"Idaho Springs, Squaw Mountain",CO,OPEN,string,32.9,NE,string,449.45,444.45,103.5,127.3,Clear Creek,On-Air,Rocky Mountain Radio League,undefined,CCARC,string,"Wide area: West to the Continental Divide, south to
Colorado Springs, east to Limon, and north to Cheyenne.",11,undefined,RMRL: Mon at 20:30.,Repeater,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
448.225,-5,141.3,N0SZ,"Idaho Springs, Squaw Mountain",CO,OPEN,string,32.9,NE,string,448.225,443.225,141.3,141.3,Clear Creek,On-Air,Rocky Mountain Ham Radio,undefined,CCARC,string,undefined,E-power(gen).,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
446.9375,-5,CC7,N0SZ,"Idaho Springs, Squaw Mountain",CO,OPEN,string,33,NE,string,446.9375,441.9375,string,undefined,Clear Creek,On-Air,Rocky Mountain Ham Radio,See the website for programming information.,CCARC,string,undefined,undefined,Full-time to the  Colorado TRBO System .,undefined,Rocky Mountain Ham Radio,string,7,string,undefined,undefined,RMHAM,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700  Full-Time    Southern Colorado  2  719  Full-Time    Denver Regional  2  720  Full-Time    Northern Colorado  2  721  Full-Time  
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,2,2,2,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
146.67,-0.6,100,KB0UDD,"Idaho Springs, Squaw Mountain",CO,OPEN,string,33,NE,string,146.67,146.07,100,100,Clear Creek,On-Air,Castle Rock Repeater Group,undefined,CCARC,string,"North to Cheyenne, Wy - East to Limon, Co - South to Colorado Springs, Co and West to the Continental Divide.",11,undefined,CRRG/QCWA: Sun at 0930. Southern Metro LDS Ham Group: Sun at 1900. ARES23: Thu at 1930. ARES13: Sun at 2000.,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
448.675,-5,100,W0CFI,"Idaho Springs, Squaw Mountain",CO,OPEN,string,33,NE,string,448.675,443.675,100,100,Denver,On-Air,W0CFI,undefined,CCARC,string,Wide area.,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
146.94,-0.6,103.5,W0WYX,"Idaho Springs, Squaw Mountain",CO,OPEN,string,33,NE,string,146.94,146.34,103.5,103.5,Clear Creek,On-Air,Rocky Mtn Radio League,undefined,CCARC,string,"Wide area: west to the Continental Divide, south to Colorado Springs, east to Limon, and north to Cheyenne.",11,"Linkable to  
        449.82500 (W0WYX) at Broomfield, CO .
 


Linkable to  
        449.45000 (K1DUN) at Idaho Springs, Squaw Mountain, CO .","Colorado WX: Daily at 06:30. 
RMRL: Mod at 20:30. 
Astronomy: Tue at 19:00. 
Amateur Radio Events: Tue at 20:00.",Repeater,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,Autopatch: 911* / Off 0*.,Listen Live,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
145.49,-0.6,100,W0TX,"Idaho Springs, Centennial Cone",CO,OPEN,string,33,NE,string,145.49,144.89,100,100,Jefferson,On-Air,"KB0VIU,  Denver Radio Club",undefined,CCARC,string,undefined,E-power.,"Full-time to  
        448.62500 (W0TX) at Golden, Centennial Cone, CO .",DRC: Sun at 20:30.,DRC Repeaters,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
145.145,-0.6,107.2,W0CRA,"Idaho Springs, Squaw Mountain",CO,OPEN,string,33,NE,string,145.145,144.545,107.2,107.2,Clear Creek,On-Air,Colorado Repeater Assoc,undefined,CCARC,string,Wide area. Denver metro.,E-power.,undefined,undefined,http://www.w0cra.org/info/squaw.html#145145,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
447.575,-5,107.2,W0CRA,"Idaho Springs, Squaw Mountain",CO,OPEN,EI,33,NE,string,447.575,442.575,107.2,107.2,Clear Creek,On-Air,Colorado Repeater Association (CRA),undefined,CCARC,string,Wide area: Denver metro.,undefined,undefined,undefined,http://www.w0cra.org,undefined,undefined,undefined,undefined,3291,undefined,undefined,undefined,undefined,undefined,undefined,undefined,Member-only IRLP and Echolink node,undefined,347088,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
449.35,-5,100,W0TX,"Idaho Springs, Squaw Mountain",CO,OPEN,E,33,NE,string,449.35,444.35,100,100,Clear Creek,On-Air,Denver Radio Club,undefined,CCARC,string,Wide area.,11,undefined,undefined,DRC Repeaters,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,4140,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
147.3,0.6,103.5,N0PYY,"Evergreen, Squaw Mountain",CO,OPEN,string,33.1,NE,string,147.3,147.9,103.5,103.5,Clear Creek,On-Air,Denver PD EEB,undefined,CCARC,string,Wide area.,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
449,-5,136.5,WR0AEN,"Idaho Springs, Squaw Mountain",CO,OPEN,string,33.1,NE,string,449,444,136.5,136.5,Clear Creek,On-Air,CARN,undefined,CCARC,string,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
449.9,-5,107.2,N0AFO,Vail,CO,OPEN,string,34.1,NW,string,449.9,444.9,107.2,107.2,Eagle,Off-Air,ECHO,undefined,CCARC,string,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
224.8,-1.6,string,N0AFO,Vail,CO,OPEN,string,34.1,NW,string,224.8,223.2,string,undefined,Eagle,undefined,ECHO,undefined,CCARC,string,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,Unknown,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
224.98,-1.6,107.2,W0CRA,"Conifer, Conifer Mountain",CO,OPEN,EI,34.4,E,string,224.98,223.38,107.2,107.2,Jefferson,Off-Air,Colorado Repeater Association,undefined,CCARC,string,Wide area. Denver.,"Closed autopatch, e-power.","Full-time to  
        145.16000 (W0CRA) at Colorado Springs, Cheyenne Mountain, CO .
 


Full-time to  
        147.22500 (W0CRA) at Larkspur, Westcreek, CO .",undefined,undefined,undefined,undefined,undefined,undefined,3990,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,347086,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
447.15,-5,107.2,W0CRA,"Conifer, Conifer Mountain",CO,OPEN,string,34.4,E,string,447.15,442.15,107.2,107.2,Jefferson,Off-Air,Colorado Repeater Association (CRA),undefined,CCARC,string,Wide area: Denver.,"Closed autopatch, e-power.",undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1287.9,-20,CSQ,W0CRA,"Conifer, Conifer Mountain",CO,OPEN,string,34.4,E,string,1287.9,1267.9,CSQ,undefined,Jefferson,Off-Air,Colorado Repeater Association (CRA),undefined,CCARC,string,Fort Collins to Colorado Springs.,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
449.05,-5,107.2,WG0N,"Idaho Springs, Squaw Mountain",CO,OPEN,string,35.7,NE,string,449.05,444.05,107.2,107.2,Denver,On-Air,WG0N,undefined,CCARC,string,Wide area.,E-power.,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
447.85,-5,141.3,AC0KQ,"Evergreen, Saddleback Mountain",CO,OPEN,A,36.8,NE,string,447.85,442.85,141.3,141.3,Clear Creek,On-Air,AC0KQ,undefined,CCARC,string,Wide area at 9500',AllStar node repeater providing wide area coverage along the Front Range,undefined,undefined,undefined,undefined,undefined,undefined,Rocky Mountain Ham Radio,undefined,undefined,undefined,undefined,undefined,undefined,undefined,29571,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
445.075,-5,CC7,N0SZ,Vail,CO,OPEN,string,36.9,NW,string,445.075,440.075,string,undefined,Eagle,On-Air,K2AD,undefined,CCARC,string,undefined,undefined,undefined,undefined,http://www.rmham.org/,string,7,string,Rocky Mountain Ham Radio,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
449.7,-5,107.2,string,Lake George,CO,OPEN,string,36.9,SE,string,449.7,444.7,107.2,undefined,Park,undefined,CMRG,undefined,CCARC,string,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,Unknown,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
145.34,-0.6,103.5,KE4GUQ,Evergreen,CO,OPEN,I,37.7,NE,string,145.34,144.74,103.5,127.3,Jefferson,On-Air,Rocky Mtn Radio League,undefined,CCARC,string,Wide area.,E-power.,undefined,undefined,Repeater,undefined,undefined,undefined,undefined,3350,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
145.175,-0.6,CC1 D073,N0SZ,"Evergreen, Lower Squaw Mountain",CO,OPEN,string,37.7,NE,string,145.175,144.575,D073,D073,Clear Creek,Off-Air,Rocky Mountain Ham Radio,Please check the status of this repeater by going to the web link.  This repeater is capable of being remotely mode/frequency steered for Colorado EmComm/ARES use.,CCARC,string,undefined,undefined,undefined,undefined,Rocky Mountain Ham Radio,string,1,string,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,Yes; analog capable.,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
147.345,0.6,88.5,KB0VJJ,Vail,CO,OPEN,string,38.1,NW,string,147.345,147.945,88.5,123,Eagle,On-Air,Colorado Connection,undefined,CCARC,string,Wide area: Vail Pass to Glenwood Canyon and the Flattops Wilderness to Tennessee Pass.  Map,9,Full-time to the  Colorado Connection System .,"Central Colorado Traffic Net: Daily at 19:3030 
Colorado Connection Net (All Welcome):  Thu at 20:00. 
Statewide ARES net: Sun at 20:00.",undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
